,fecha,titulo,descripcion
48,11 de octubre de 2019 00:00,Tres procesados por robo y daños en la Contraloría,La Fiscalía inició una indagación para dar con el resto de responsables. En el organismo de control reposa información sobre irregularidades del anterior gobierno.
49,20 de septiembre de 2019 12:29,"Cabecilla de banda dedicada al secuestro, extorsión y asalto registra 17 detenciones","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
50,17 de septiembre de 2019 12:02,"Información vulnerada de datos es responsabilidad del Estado, dice experto en seguridad","

Hacienda la Compañía, 27 años de historia en la producción de rosas en Ecuador

Conoce el proceso de producción, venta y distribución de rosas en Cayambe."
51,17 de septiembre de 2019 00:00,"Policía desarticula 18 bandas delictivas, entre el jueves y el domingo","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
52,10 de septiembre de 2019 16:54,Tres estudiantes procesados por robo al no devolver dinero que hallaron en la calle,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
53,07 de septiembre de 2019 14:15,Directora del Archivo Histórico confirmó la desaparición del Testamento de Eugenio Espejo,"

MAAC abordará conversatorio virtual sobre procesos de arte fuera de la institucionalidad

Los ponentes será de países como Ecuador, Chile, Suiza, España y Brasil."
54,03 de septiembre de 2019 00:00,Partes robadas de carros se venden en tres sectores,En las zonas conocidas como “cachinerías” se hallan repuestos y accesorios de procedencia no justificada. Hay bandas dedicadas a sustraerse las piezas bajo pedido.
55,30 de agosto de 2019 12:20,Policía frustra asalto a entidad bancaria en Naranjal,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
56,29 de agosto de 2019 00:00,La jueza que dejó libre a 8 procesados en caso Sinaí es separada de área penal,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
57,26 de agosto de 2019 09:51,Delincuentes disparan tras robar en panadería de Urdesa,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
