,titulo,link
178,Roban $ 6 millones en joyas cerca de Times Square en Año Nuevo,/noticias/mundo/8/roban-usd-6-millones-en-joyas-cerca-de-times-square-en-ano-nuevo
179,Ecuatoriano robaba objetos de camiones,/noticias/judicial/12/ecuatoriano-robaba-objetos-de-camiones
180,Policía de Nueva York identifica a hombre que robó balde lleno de oro,/noticias/judicial/12/policia-de-nueva-york-identifica-a-hombre-que-robo-balde-lleno-de-oro
181,Roban 5 millones de euros a 2 mujeres cataríes en autopista de París,/noticias/mundo/8/roban-5-millones-de-euros-a-2-mujeres-cataries-en-autopista-de-paris
182,Una madre presenció cómo los 'sacapintas' asesinaron a su hijo,/noticias/judicial/12/una-madre-presencio-como-los-sacapintas-asesinaron-a-su-hijo
189,Asaltantes que robaron blindado dejaron un carro abandonado,/noticias/judicial/12/asaltantes-que-robaron-blindado-dejaron-un-carro-abandonado
190,Aún no hay detenidos por robo de $ 10.500 en Solca,/noticias/judicial/12/aun-no-hay-detenidos-por-robo-de-usd-10-500-en-solca
191,El supuesto autor de crimen por asalto fue aprehendido,/noticias/judicial/12/el-supuesto-autor-de-crimen-por-asalto-fue-aprehendido
192,Ocho detenidos por presunto robo en estaciones de la Metrovía,/noticias/judicial/12/ocho-detenidos-por-presunto-robo-en-estaciones-de-la-metrovia
193,‘Me robaron mi perfil en Facebook’,/noticias/de7en7/1/me-robaron-mi-perfil-en-facebook
194,Roban a todo un pueblo en Argentina en 10 minutos y se fugan,/noticias/judicial/12/roban-a-todo-un-pueblo-en-argentina-en-10-minutos-y-se-fugan
195,Video identifica a 3 personas que participaron en un robo,/noticias/judicial/12/video-identifica-a-3-personas-que-participaron-en-un-robo
196,"Organización robaba celulares en Colombia y los vendía en Ecuador, Perú y Argentina",/noticias/judicial/12/organizacion-robaba-celulares-en-colombia-y-los-vendia-en-ecuador-peru-y-argentina
197,ECU-911 y la Policía Nacional evitaron robo de computadoras en escuela de Ambato,/noticias/regional-centro/2/ecu-911-y-la-policia-nacional-evitaron-robo-de-computadoras-en-escuela-de-ambato
198,Delincuentes aprovecharon la luz roja para robar 480 pavos,/noticias/judicial/12/delincuentes-aprovecharon-la-luz-roja-para-robar-480-pavos
205,3 guardias fueron detenidos después de robar en hospital,/noticias/judicial/12/3-guardias-fueron-detenidos-despues-de-robar-en-hospital
206,La Fiscalía solicita videos tras robo en el Vicente Rocafuerte,/noticias/judicial/12/la-fiscalia-solicita-videos-tras-robo-en-el-vicente-rocafuerte
207,"Sospechoso de robar $ 18 mil, detenido",/noticias/judicial/12/sospechoso-de-robar-18-mil-detenido
208,Roban dos pinturas de Goya ,/noticias/cultura/10/roban-dos-pinturas-de-goya
209,Los delincuentes robaban a jóvenes hasta uniformes y útiles escolares,/noticias/judicial/12/los-delincuentes-robaban-a-jovenes-hasta-uniformes-y-utiles-escolares
210,Una joven de 25 años fue baleada por evitar robo,/noticias/judicial/12/una-joven-de-25-anos-fue-baleada-por-evitar-robo
211," EE. UU. dice que hackers robaron información de 21,5 millones de personas",/noticias/mundo/8/ee-uu-dice-que-hackers-robaron-informacion-de-215-millones-de-personas
212,Sospechoso de robo en local de celulares quiso huir subiendo en diferentes buses,/noticias/judicial/12/sospechoso-de-robo-en-local-de-celulares-quiso-huir-subiendo-en-diferentes-buses
213,Presunto responsable de asesinato de policía fue detenido,/noticias/judicial/12/un-policia-fue-asesinado-en-guayaquil-para-robarle-la-moto
214,"Roban ejemplar inédito de ""Cincuenta sombras de Grey"" ",/noticias/espectaculos/10/roban-ejemplar-inedito-de-cincuenta-sombras-de-grey
221,Colombia ofrece recompensa por valioso óleo de Simón Bolívar que fue robado ,/noticias/cultura/10/colombia-ofrece-recompensa-por-valioso-oleo-de-simon-bolivar-que-fue-robado
222,Sospechosos de robo a complejo del D. Quito fueron capturados ,/noticias/judicial/12/sospechosos-de-robo-a-complejo-del-d-quito-fueron-capturados
223,"Vanilla Ice hará servicio comunitario, tras acuerdo legal ",/noticias/espectaculos/10/vanilla-ice
224,"Ladrón devuelve vestido de Lupita Nyongo, al asegurar que las perlas son falsas",/noticias/espectaculos/10/ladron-devuelve-vestido-de-lupita-nyong-o-al-asegurar-que-las-perlas-son-falsas
225,"Scolari, indocumentado y sin tarjetas de crédito por robo en Brasil",/noticias/futbol-internacional/7/scolari-indocumentado-y-sin-tarjetas-de-credito-por-robo-en-brasil
226,Los robos de celulares se redujeron a mil por día (Infografía),/noticias/economia/4/los-robos-de-celulares-se-redujeron-a-mil-por-dia-infografia
227,Ladrones utilizaron un iPod para robar tarjetas de crédito en Reino Unido,/noticias/tecnologia/6/ladrones-utilizaron-un-ipod-para-robar-tarjetas-de-credito-en-reino-unido
228,Algunos de los trofeos robados a Red Bull aparecen en un lago,/noticias/f1/7/algunos-de-los-trofeos-robados-a-red-bull-aparecen-en-un-lago
229,Roban puerta del campo de concentración nazi de Dachau,/noticias/mundo/8/roban-puerta-del-campo-de-concentracion-nazi-de-dachau
230,3 presos por robo y extorsión ,/noticias/judicial/12/3-presos-por-robo-y-extorsion
237,Diariamente en Lima se reporta el robo de 14.000 celulares y 19 autos,/noticias/mundo/8/diariamente-en-lima-se-reporta-el-robo-de-14-000-celulares-y-19-autos
238,Robo y asesinato bajan en Guayaquil,/noticias/judicial/12/robo-y-asesinato-bajan-en-guayaquil
239,Cinematográfico y millonario robo en el aeropuerto de Santiago de Chile,/noticias/mundo/8/cinematografico-y-millonario-robo-en-el-aeropuerto-de-santiago-de-chile
240,El robo de ganado bajó en Guayas,/noticias/judicial/12/el-robo-de-ganado-bajo-en-guayas
