,fecha,titulo,descripcion
66,"marzo 09, 2021",¡Pilas con el ladrón de la gorra en Cumbayá!,Víctimas de robos coinciden en que el sujeto llevaba un gorro blanco con una línea roja.
67,"febrero 25, 2021",Quiso comprar sábanas y le ‘bajaron’ hasta el radio de la sala,Mujer fue víctima de un asalto. Escuchó un vehículo que ofrecía productos para el hogar y se acercó para ver. Dos sujetos la agredieron.
68,"febrero 20, 2021",Le agujerearon la cabeza de un balazo,Un muerto y una mujer herida dejó el robo a una hacienda bananera de El Oro. Encapuchados atacaron en Machala
69,"febrero 19, 2021",Quito: lo bajaron del bus por llevar tremendo cuchillo,"Un hombre asaltó a los pasajeros en el sector de La Roldós, norte de la capital. Agentes de Tránsito intervinieron"
70,"febrero 14, 2021",¡Amenazaron con acuchillar a una niña!,Asaltaron a un grupo de estudiantes en el Parque Metropolitano de Quito
71,"febrero 12, 2021",¡Roban a periodista deportivo en vivo y directo!,"El comunicador Diego Ordinola se encontraba en los exteriores del estadio Monumental, cuando fue apuntado con un revólver"
72,"febrero 10, 2021",Quito: ¡Se quedó sin vender su auto y sin celular!,Un joven fue víctima de robo en un semáforo de Quito. Le preguntaron si vendía su carro para distraerlo.​
73,"enero 31, 2021",Detienen a un pillo 'patojo' en el sur de Guayaquil,El ciudadano tiene una pierna lastimada y habría cometido un robo el 8 de enero. Hoy andaba con un sujeto en una moto y ambos fueron atrapados
74,"enero 28, 2021","Armado con un pico de botella, un pillo le quitó el celular a una joven del Comité del Pueblo","El teléfono que se le llevaron era prestado, pero lo que más lamenta la víctima es la inseguridad que reina en esa zona de Quito"
75,"enero 22, 2021",¡Cayeron los del asalto a la joyería del centro de Guayaquil!,La Policía detiene en el sector de La Chala a implicados en el robo del 20 de enero a un local en el centro y la justicia les dicta prisión preventiva
76,"enero 21, 2021",Lloró por clemencia luego de agredir y robar un celular; pero igual fue denunciado,El sospechoso robó a una mujer pero cuando fue detenido por el populacho empezó a llorar e indicó que su fechoría fue por su mamá.
77,"enero 21, 2021","Advertencia a pillos en San Antonio de Pichincha: ""¡La próxima les quemamos!""",Sujetos intentaron robar sus pertenencias a una pareja del lugar. Vecinos y familiares salieron a ayudarlos y los sospechosos huyeron... por ahora
78,"enero 16, 2021",Pillos tenían ‘chulla cachina’ para asaltar en Guayaquil,La Policía capturó a delincuentes que asaltaron a una pareja. Un cuchillo forma parte de las evidencias
79,"enero 15, 2021",¡Donald Trump tiene Facebook e Instagram otra vez!,"Este viernes 15 de enero, Facebook e Instagram restauraron las cuentas del presidente Donald Trump, luego de que fueran suspendidas por el asalto en el Capitolio."
80,"enero 14, 2021","Un detenido por asalto fuera de un banco fue perdonado por su víctima ""en nombre de Jesús""",Implicado en un robo de 10 'lucas' a un ciudadano fue capturado con el billete en el sur de la urbe. Otro involucrado escapó
81,"enero 12, 2021","En Quito, un pseudo pasajero intentó 'dejar a pata' a una taxista","El sospechoso le robó el auto pero luego fue detenido con un arma de fuego, cuchillo y hasta tenía unas esposas. El vehículo también fue recuperado"
