,fecha,titulo,descripcion
55,23/02/2021,Conductor esperaba una pasajera en San Roque cuando intentaron asaltarle; el hecho quedó grabado en video,Alberto (nombre protegido) registró en video el momento en que presuntamente es víctima de un asalto. El ciudadano salió a trabajar en su automóvil en Quito.
56,19/02/2021,"Testimonio de asalto en Lumbisí: ‘Los delincuentes amarraron mis manos, pies y boca con cinta de embalaje’","Lorena (nombre protegido), de 38 años, sufrió un asalto cuando salió a trabajar en el automóvil de su prima. Ocurrió al mediodía del jueves 11 de febrero del 2021 en una zona abandonada, la cual se ubica entre Lumbisí y San Francisco de Pinsha, en el oriente de Quito."
57,16/02/2021,"En atraco a una tienda en Colombia, policías saludan a ladrón mientras huye",El dueño de una empresa en Bogotá (Colombia) no sale del asombro tras ser víctima de un atraco. Un hombre que fingía ser un cliente que quería comprarle un bicimoto a su esposa entró al lugar como si nada y se ganó la confianza de las empleadas que hasta de ofrecieron un agua aromática para que se relajara mientras se decidía.
58,13/02/2021,Los demócratas reculan y deciden no citar testigos en el juicio a Trump,"En otro movimiento inesperado, los demócratas que actúan como 'fiscales' en el juicio político a Donald Trump llegaron a un acuerdo con la defensa del exmandatario para finalmente no citar a ningún testigo, lo que pone fin al drama desatado por la mañana y significa que el proceso podría acabar este 13 de febrero del 2021."
59,12/02/2021,"Equipo periodístico fue asaltado en los exteriores del estadio Monumental, en Guayaquil; el robo quedó grabado","El periodista deportivo Diego O. señaló en su cuenta de Twitter el asalto del que fue víctima él y su camarógrafo, en los exteriores del estadio Monumental, en el oeste de Guayaquil, la tarde de este viernes 12 de febrero de 2021."
60,12/02/2021,Testimonio de inseguridad: ‘Los delincuentes me amarraron y golpearon para robar el carro de mi hermano’,"Luciana (nombre protegido) es una chica de 18 años que sufrió un asalto violento mientras laboraba en el automóvil de su hermano, un Chevrolet Aveo Emotion Advance blanco de placas PCF 7836. La noche del sábado 6 de febrero del 2021, ella hizo una carrera a una pareja y le robaron el vehículo."
61,11/02/2021,Una líder de la toma al Capitolio declara que obedecía instrucciones de Trump,"Una líder del grupo paramilitar Oath Keepers, que planeó y participó junto a otros en el asalto al Capitolio de EE.UU., creía que obedecía instrucciones del entonces presidente Donald Trump, según unos documentos del Departamento de Justicia difundidos este 11 de febrero del 2021 por medios locales."
62,05/02/2021,‘Delincuentes arrojaron un clavo ‘miguelito’ a la llanta de mi vehículo en la avenida Edmundo Carvajal’,"Momentos de pánico vivió Daniela E., la mañana del jueves 4 de febrero del 2021, mientras circulaba por la avenida Edmundo Carvajal, la cual se ubica en una zona exclusiva del noroccidente de Quito. Un hombre le arrojó un clavo 'miguelito' en uno de los neumáticos de su vehículo tras salir del autobanco de un centro comercial."
63,03/02/2021,Ocho sospechosos asaltan un local avícola en Guayaquil y roban USD 10 500,"Hombres ingresaron en una avícola en el noreste de Guayaquil, 2 de ellos vestidos con ropa similar a la Policía Nacional. Los hombres presuntamente robaron USD 9 000 y USD 1 500 en cheques. Video Redes sociales"
64,03/02/2021,Hombres vestidos como policías robaron una avícola en Guayaquil,"Cámaras de seguridad captaron el robo a una avícola en Guayaquil. El hecho se registró el martes, 2 de febrero del 2021, a las 07:15."
65,02/02/2021,La congresista demócrata Ocasio-Cortez revela que fue agredida sexualmente,La congresista estadounidense demócrata Alexandria Ocasio-Cortez ha revelado durante una intervención en directo en su cuenta de Instagram que se considera una superviviente de una agresión sexual.
