,fecha,titulo,link,descripcion
21,2019-10-23,Moreno: Correa y Maduro están detrás de las protestas en Saturno,http://elmercioco.com/moreno-correa-y-maduro-estan-detras-de-las-protestas-en-saturno/,"EM. Noticias.- Las protestas en el planeta Saturno no han cesado desde hace 6 semanas saturneanas donde el proletariado pide mejores condiciones de vida. Saturno se une a la ola de protestas donde Chile, Ecuador, Barcelona, Líbano han causado desmanes y saqueos en las calles debido a la injusticia social."
22,2019-10-03,Gobierno legaliza las de 16 para que la gente se olvide del paquetazo,http://elmercioco.com/gobierno-legaliza-las-de-16-para-que-la-gente-se-olvide-del-paquetazo/,"EM. Noticias.- El máximo organismo constitucional del Ecuador, respaldó el sexo consentido con señoritas de 16 años, esta madrugada. Con cinco votos a favor y cuatro en contra, la Corte Constitucional (CC) resolvió favorablemente el sexo entre un adulto y una niña de 16 años ya es legal y no será considerado como violación."
23,2019-10-02,"Anti-correísta que esperaba recibir solo la puntita en impuestos, recibió tremendo paquetazo",http://elmercioco.com/anti-correista-que-esperaba-recibir-solo-la-puntita-en-impuestos-recibio-tremendo-paquetazo/,"APS. Noticias.- Miles de odioadores de Rafael Correa esperaban con un poco de miedo las nuevas medidas económicas ordenadas por el FMI, compraron varios litros de vaselina para estar preparados.  “Solo subirá el IVA dos puntos, Correa ya subió por un año y no pasó nada, es como decimos los hombres, solo la puntita jajaja”, manifestó Luis López un empleado público."
24,2019-09-26,El Lobo Feróz sopló y derrumbó las casas que construyó Otto,http://elmercioco.com/el-lobo-feroz-soplo-y-derrumbo-las-casas-que-construyo-otto/,"APS. Noticias.- Las casitas de caña que el vicepresidente de la república Otto Sonnenholzner entregó esta semana a los guayaquileños ya se encuentran destruidas. Las casitas que fueron hechas a la maldita sea, con caña podrida y techo con huecos fueron destruidas debido a fuertes vientos."
25,2019-09-18,Cura pedófilo celebra la ley anti aborto con sus dos deliciosos monaguillos,http://elmercioco.com/cura-pedofilo-celebra-la-ley-anti-aborto-con-sus-dos-deliciosos-monaguillos/,"La Conferencia Episcopal Ecuatoriana felicitó a los legisladores, en un comunicado, por no votaran a favor de despenalizar el aborto en caso de que las mujeres sean víctimas de violación.  Un cura pedófilo aplaudió con euforia la no despenalización del aborto y afirmó que esta victoria de Dios merece ser celebrada."
26,2019-09-18,La Asamblea Nacional permite a los pedófilos ser padres de familia,http://elmercioco.com/la-asamblea-nacional-permite-a-los-pedofilos-ser-padres-de-familia/,"APS. Ecuador.- La Asamblea Nacional negó la noche de este martes la despenalización del aborto en caso de violación, contemplada dentro del proyecto de reformas al Código Orgánico Integral Penal (COIP), que introduce cambios en 129 artículos de la norma vigente. En los exteriores de la asamblea, la Asociación de Violadores del Ecuador (AVE), agradeció a la asamblea nacional por velar por sus derechos."
27,2019-09-05,Pamela Martínez no se acuerda donde dejó su bolígrafo,http://elmercioco.com/pamela-martinez-no-se-acuerda-donde-dejo-su-boligrafo/,APS. Noticias.- El disque cuaderno disque hallado detrás de una disque chimenea en la casa de Pamela Martínez supuestamente fue escrito en el 2018 según la fiscal Diana Salazar.  La ex asesora de Rafael Correa confirmó esta ella escribió todo de memoria porque tiene una memoria perfecta.
28,2019-09-04,Nació la hija de Vito Muñoz,http://elmercioco.com/nacio-la-hija-de-vito-munoz/,"Piña Colada Muñoz Zambrano, la hija de Vito Muñoz y Rosibel Zambrano nació este 1 de septiembre de 2019 por parto natural. La hermosa bebé nació verdecita, midió 18 cm y pesó 4 libras, y llenó de alegría a la feliz pareja."
29,2019-09-04,Casinos de Las Vegas vetan a ex asesora de Correa por tener una memoria fotográfica,http://elmercioco.com/casinos-de-las-vegas-vetan-a-ex-asesora-de-correa-por-tener-una-memoria-fotografica/,"APS. Noticias.- Todos los casinos de Las Vegas en Estados Unidos han decidido vetar de por vida a la ex asesora de Rafael Correa, Pamela Martinez. Según Mike Ross, presidente de la asociación de casinos de Las Vegas, Martínez es capaz de contar cartas en el poker, por lo que podría dejar en banca rota a Las Vegas."
30,2019-08-16,El Zapato del Crnel. Tapia fue exitosamente extraído del culo de Vivanco,http://elmercioco.com/el-zapato-del-crnel-tapia-fue-exitosamente-extraido-del-culo-de-vivanco/,"APS. Noticias.- Esta mañana doctores del Hospital Militar examinaron el trasero del youtuber Luis Eduardo Vivanco, el mismo que llegó al centro médico con síntomas de desgarro anal severo. Las radiografías del coxis de Vivanco, revelaron un zapato incrustado en el trasero del youtuber que probablemente pertenecería al Coronel Rolando Tapia."
31,2019-08-05,Lenin Moreno pide disculpas a los chimpanzés por compararlos con niños guayaquileños,http://elmercioco.com/lenin-moreno-pide-disculpas-a-los-chimpanzes-por-compararlos-con-ninos-guayaquilenos/,"APS. Noticias.- El presidente Lenin Moreno intentó aclarar uno de sus comunes ‘lapsus brutos’ cuando se refirió a los niños pobres como “monitos emprendedores”. El rechazo por parte de los ecuatorianos, a obligado al presidente ecuatoriano a disculparse. Pero una vez mas, el débil intelecto de Moreno le jugó una mala pasada, al disculparse con los monos en lugar de con los ecuatorianos."
32,2019-07-29,Iván Granda: “Me como a la Romo porque no tengo plata para ir al Chongo”,http://elmercioco.com/ivan-granda-me-como-a-la-romo-porque-no-tengo-plata-para-ir-al-chongo/,"APS.Noticias.- El Ministro Iván Granda en una entrevista con Carlos Vera, confirmó que si usa bienes del estado para irse de vacaciones amorosas con Maria Paula Romo, la ministra del Interior. Granda posteriormente confirmó que si “le atiende” a Romo, y afirmó que son tiempos difíciles y que no tiene plata para una buena ‘cariñosa’"
33,2019-07-22,El lelo Vivanco bloquea a su abuela en Twitter por no pautar con la Posta,http://elmercioco.com/el-lelo-vivanco-bloquea-a-su-abuela-en-twitter-por-no-pautar-con-la-posta/,"APS. Noticias.- Después de que el Shiri Carán de la capital, Jorge Yunda se burlara de Luis Eduardo Vivanco por las redes sociales, el Youtuber de la posta se ha dedicado a bloquear a todo aquel que lo trolée en las redes sociales. Según el Dr. Luis Sánchez, proctólogo del Hospital de lo Valles, el fuerte troleo que recibió Vivanco en las redes sociales le ha causado fuertes dolores anales. La desesperación de Vivanco fue tanta que hasta bloqueó a su abuela por trolearlo en twitter."
34,2019-07-15,Ministra Romo es menos histérica desde que el ministro Iván Granda le garrotea,http://elmercioco.com/ministra-romo-es-menos-histerica-desde-que-el-ministro-ivan-granda-le-garrotea/,"APS. Noticias.- Después de que se descubriera la relación carnal entre la ministra del Interior Maria Paula Romo y el Ministro Iván Granda, muchas noticias han salido a la luz. Según estadísticas del INEC, el apresamiento a ciudadanos sin justificación alguna disminuyó en un 90% desde que el ministro Ivan Granda le mete sus garrotazos a la Ministra Romo."
35,2019-07-09,Maria José Carrión ya tuvo su primer hijo con el venezolano,http://elmercioco.com/maria-jose-carrion-ya-tuvo-su-primer-hijo-con-el-venezolano/,"EM. Noticias.- La asambleísta María Jose Carrión quién afirmó hace semanas atrás que se encontraba embarazada, parió a su crío esta madrugada.   Carrión quién también publicó una fotografía con su amante de nacionalidad venezolana, afirmó que en un principio ella lo alojó en su casa por ser un pobre desplazado de su país, luego con unos tragos demás, una cosa llevó a la otra, ella le metió dos puñetes e hicieron el amor."
36,2019-06-29,Ricky Martin celebró el fichaje de Antonio Valencia por la LDU,http://elmercioco.com/ricky-martin-ldu-valencia/,"EM. Deportes.- Liga de Quito ha hecho oficial este viernes la contratación por dos años del ecuatoriano Antonio Valencia, quien estuvo en Brasil con la selección que disputó la Copa América.  En un video difundido en sus redes sociales, el exjugador del Manchester United aparece en el estadio Rodrigo Paz vistiendo el mismo número 25 que mantuvo durante una década en Inglaterra, pero ahora con la camiseta blanca del equipo quiteño."
